generic_name,status,availability,shortage_reason,dosage_form,company_name,initial_posting_date,update_type,therapeutic_category,year,month
Hydrochlorothiazide; Quinapril Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Pfizer Inc.,2025-10-01,New,Cardiovascular,2025,10
Eszopiclone Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2025-06-26,New,Neurology,2025,6
Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2025-11-03,New,Analgesia/Addiction,2025,11
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2022-02-14,Reverified,Endocrinology/Metabolism,2022,2
Insulin Aspart Injection,To Be Discontinued,Unknown,Unknown,Injection,"Novo Nordisk, Inc.",2025-07-21,New,Endocrinology/Metabolism,2025,7
Lasmiditan Succinate Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Eli Lilly and Co.,2025-11-03,New,Neurology,2025,11
Pilocarpine Hydrochloride Ophthalmic Solution,To Be Discontinued,Unknown,Unknown,Ophthalmic Solution,AbbVie Inc.,2026-03-24,New,Ophthalmology,2026,3
Desipramine Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Avet Pharmaceuticals, Inc.",2025-08-12,New,Psychiatry,2025,8
Hydromorphone Hydrochloride Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2017-10-31,Reverified,Analgesia/Addiction,2017,10
Insulin Aspart Injection,To Be Discontinued,Unknown,Unknown,Injection,"Novo Nordisk, Inc.",2025-07-21,New,Endocrinology/Metabolism,2025,7
Methylprednisolone Acetate Injection,Current,Available,Unknown,Injection,Pfizer Inc.,2021-12-15,Reverified,Rheumatology,2021,12
Sodium Acetate Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2016-02-03,Reverified,Endocrinology/Metabolism,2016,2
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,Granules Pharmaceuticals Inc.,2022-10-12,Reverified,Psychiatry,2022,10
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2018-02-20,Revised,Anesthesia,2018,2
Clonazepam Tablet,Current,Available,Unknown,Tablet,Rubicon Research Private Limited,2023-03-27,Reverified,Neurology,2023,3
Dexamethasone Sodium Phosphate Injection,Current,Available,Unknown,Injection,Eugia US LLC,2019-02-08,Reverified,Dermatology,2019,2
Lisdexamfetamine Dimesylate Capsule,Current,Unavailable,Delay in shipping of the drug,Capsule,SpecGx LLC,2023-07-14,Revised,Psychiatry,2023,7
Midazolam Hydrochloride Injection,Current,Available,Unknown,Injection,WG Critical Care,2020-04-02,Reverified,Anesthesia,2020,4
Morphine Sulfate Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Upsher-Smith Laboratories, LLC",2025-12-22,New,Analgesia/Addiction,2025,12
Clonazepam Tablet,Current,Available,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2023-03-10,Revised,Neurology,2023,3
Lisdexamfetamine Dimesylate Capsule,Current,Unavailable,Shortage of an active ingredient,Capsule,Amneal Pharmaceuticals,2023-07-14,Reverified,Psychiatry,2023,7
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Shortage of an active ingredient,Tablet,"Elite Laboratories, Inc.",2022-10-12,Reverified,Psychiatry,2022,10
Sodium Chloride 0.9% Injection,To Be Discontinued,Unknown,Unknown,Injection,Fresenius Medical Care North America,2025-06-10,New,Gastroenterology,2025,6
Vancomycin Hydrochloride Injection,To Be Discontinued,Unknown,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2025-09-09,New,Anti-Infective,2025,9
Clonazepam Tablet,Current,Available,Unknown,Tablet,Rubicon Research Private Limited,2023-03-10,Reverified,Neurology,2023,3
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,Alvogen,2023-07-14,Reverified,Psychiatry,2023,7
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Available,Unknown,Tablet,"Vertical Pharmaceuticals, LLC",2023-07-26,Reverified,Psychiatry,2023,7
Sterile Water Irrigant,Current,Unavailable,Other,Irrigant,Baxter Healthcare,2023-04-28,Revised,Gastroenterology,2023,4
Azacitidine Injection,Current,Available,Unknown,Injection,Accord Healthcare Inc.,2020-12-21,Reverified,Oncology,2020,12
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Torrent Pharma Inc.,2025-06-13,New,Cardiovascular,2025,6
Furosemide Injection,Current,Available,Other,Injection,Gland Pharma Limited,2020-04-07,Reverified,Cardiovascular,2020,4
Levothyroxine Sodium Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"EMD Serono, Inc.",2025-07-10,New,Endocrinology/Metabolism,2025,7
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,Apotex Corp.,2023-11-01,Reverified,Psychiatry,2023,11
Sterile Water Irrigant,Current,Limited Availability,Other,Irrigant,Otsuka ICU Medical LLC,2023-04-28,Reverified,Gastroenterology,2023,4
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Limited Availability,Demand increase for the drug,Tablet,"Trigen Laboratories, LLC",2023-07-26,Reverified,Psychiatry,2023,7
Voriconazole Injection,To Be Discontinued,Unknown,Unknown,Injection,Pfizer Inc.,2025-10-16,New,Antiviral,2025,10
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Unavailable,Shortage of an active ingredient,Tablet,Aurobindo Pharma USA,2022-10-12,Revised,Psychiatry,2022,10
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Unavailable,Discontinuation of the manufacture of the drug,Tablet,"Sun Pharmaceutical Industries, Inc.",2023-07-26,Revised,Psychiatry,2023,7
Midazolam Hydrochloride Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2020-04-02,Revised,Anesthesia,2020,4
